iter	RMSE
0	73836.43297
1	70562.56209
2	67463.27521
3	65115.96559
4	62817.63474
5	61090.16003
6	59207.82343
7	57462.38901
8	56082.99096
9	54745.78045
10	53458.32314
11	52219.17989
12	51180.1574
13	50415.88015
14	49711.1172
15	48749.62767
16	47919.28791
17	47157.15312
18	46656.66998
19	46093.11162
20	45666.33562
21	45219.18586
22	44748.018
23	44360.76689
24	43868.05575
25	43479.20246
26	42876.83193
27	42553.68145
28	42258.03625
29	41963.20875
30	41572.71366
31	41292.10772
32	40941.21122
33	40741.47652
34	40469.96434
35	40188.04299
36	39973.51003
37	39769.04357
38	39472.64788
39	39367.00745
40	39092.47962
41	38888.10782
42	38692.91738
43	38452.09433
44	38141.05954
45	37942.33189
46	37775.34913
47	37460.94936
48	37225.20821
49	37082.80511
50	36886.75106
51	36715.32591
52	36625.2946
53	36528.55233
54	36352.70054
55	36168.05159
56	36042.96925
57	35802.26068
58	35690.13882
59	35544.73239
60	35432.10045
61	35353.40975
62	35338.59646
63	35151.26159
64	35007.35641
65	34904.23033
66	34811.30679
67	34705.95575
68	34599.19457
69	34508.75766
70	34333.34509
71	34241.25495
72	34100.67604
73	34048.55259
74	33818.88058
75	33636.94579
76	33539.96238
77	33494.84039
78	33413.08859
79	33351.94985
80	33199.1892
81	33092.03731
82	32965.37112
83	32907.32675
84	32758.55079
85	32575.01592
86	32362.80869
87	32278.30333
88	32157.7894
89	32042.82814
90	31965.08834
91	31910.33073
92	31797.79977
93	31665.96128
94	31642.91003
95	31533.40883
96	31411.66941
97	31273.98172
98	31161.6201
99	31056.46468
100	30912.02401
101	30663.38892
102	30510.40422
103	30399.27984
104	30317.12285
105	30256.93984
106	30090.06515
107	29975.04343
108	29918.52906
109	29823.24102
110	29672.25906
111	29547.41218
112	29462.92304
113	29301.11916
114	29228.58608
115	29182.79732
116	29024.08838
117	28976.20749
118	28936.86128
119	28870.19914
120	28721.31832
121	28687.24137
122	28570.73421
123	28532.14654
124	28480.11877
125	28394.26735
126	28307.33535
127	28266.48685
128	28189.63452
129	28112.26975
130	27989.00012
131	27940.30568
132	27814.18868
133	27761.8669
134	27725.85324
135	27671.0816
136	27617.79015
137	27585.93599
138	27537.97888
139	27501.93227
140	27436.66483
141	27332.44758
142	27300.37281
143	27237.26634
144	27173.93206
145	27131.43249
146	27087.17145
147	27058.54871
148	26984.99005
149	26855.17306
150	26787.50498
151	26764.44984
152	26742.57488
153	26717.46068
154	26694.18444
155	26671.09297
156	26627.03682
157	26597.71807
158	26547.7939
159	26532.84865
160	26409.35944
161	26366.19768
162	26348.55713
163	26278.89635
164	26215.19261
165	26200.15822
166	26160.1699
167	26091.92935
168	25896.47477
169	25807.8104
170	25767.39071
171	25660.30911
172	25564.15568
173	25537.38581
174	25403.0201
175	25353.26759
176	25295.65177
177	25222.28602
178	25205.73441
179	25186.79479
180	25078.60437
181	25055.04569
182	24997.40745
183	24952.02136
184	24939.31238
185	24820.60768
186	24776.32218
187	24750.89499
188	24736.27656
189	24686.93749
190	24647.24155
191	24633.47111
192	24604.04172
193	24578.53898
194	24437.04885
195	24415.42961
196	24407.99273
197	24357.22717
198	24348.94739
199	24274.53104
200	24265.88801
201	24258.93657
202	24224.87986
203	24203.46487
204	24158.50534
205	24134.46282
206	24123.74974
207	24073.38364
208	24033.18158
209	23997.23423
210	23994.24685
211	23979.08934
212	23931.4558
213	23921.88476
214	23817.32959
215	23808.32885
216	23799.91619
217	23783.98281
218	23762.74997
219	23710.44717
220	23685.343
221	23654.35496
222	23651.59322
223	23602.48544
224	23541.95085
225	23528.7159
226	23491.07965
227	23378.53985
228	23259.18418
229	23200.76275
230	23163.63088
231	23125.39914
232	23100.48349
233	23055.83492
234	23050.67304
235	22994.97889
236	22968.73512
237	22956.77705
238	22908.03773
239	22879.10955
240	22819.90211
241	22763.79768
242	22653.99166
243	22622.38487
244	22571.05119
245	22538.75177
246	22495.71219
