iter	Passed	Remaining
0	26	26153
1	63	31688
2	98	32700
3	125	31329
4	154	30663
5	187	31008
6	217	30803
7	245	30485
8	286	31492
9	318	31577
10	349	31448
11	376	30993
12	404	30687
13	430	30334
14	459	30154
15	485	29869
16	512	29608
17	539	29456
18	569	29425
19	599	29357
20	628	29317
21	650	28922
22	681	28938
23	710	28896
24	738	28802
25	764	28645
26	791	28516
27	817	28389
28	837	28056
29	865	27974
30	891	27864
31	917	27748
32	943	27638
33	970	27559
34	1000	27593
35	1025	27462
36	1052	27396
37	1079	27328
38	1107	27293
39	1120	26882
40	1149	26881
41	1177	26860
42	1205	26825
43	1232	26777
44	1262	26786
45	1289	26737
46	1318	26725
47	1346	26709
48	1374	26685
49	1397	26551
50	1426	26548
51	1457	26572
52	1472	26312
53	1500	26294
54	1528	26267
55	1555	26224
56	1582	26185
57	1609	26133
58	1634	26071
59	1661	26028
60	1689	26008
61	1718	25995
62	1727	25687
63	1755	25669
64	1783	25657
65	1814	25673
66	1842	25659
67	1871	25645
68	1898	25621
69	1927	25607
70	1953	25559
71	1979	25512
72	2005	25463
73	2026	25361
74	2052	25308
75	2078	25272
76	2105	25234
77	2130	25186
78	2157	25150
79	2198	25284
80	2244	25467
81	2270	25423
82	2303	25446
83	2317	25272
84	2344	25237
85	2370	25191
86	2395	25136
87	2422	25103
88	2449	25071
89	2476	25043
90	2504	25017
91	2521	24881
92	2547	24848
93	2575	24823
94	2594	24716
95	2625	24726
96	2652	24691
97	2681	24681
98	2708	24647
99	2735	24623
100	2762	24590
101	2791	24579
102	2821	24567
103	2849	24553
104	2880	24549
105	2909	24538
106	2935	24499
107	2963	24477
108	2990	24443
109	3016	24408
110	3043	24374
111	3070	24341
112	3095	24300
113	3122	24270
114	3148	24231
115	3173	24181
116	3198	24136
117	3225	24106
118	3251	24069
119	3278	24039
120	3305	24011
121	3333	23991
122	3361	23964
123	3387	23929
124	3415	23908
125	3444	23892
126	3473	23878
127	3502	23858
128	3529	23833
129	3558	23812
130	3586	23791
131	3613	23762
132	3638	23717
133	3669	23716
134	3698	23694
135	3726	23674
136	3755	23655
137	3783	23632
138	3810	23603
139	3838	23580
140	3866	23554
141	3895	23539
142	3922	23509
143	3947	23468
144	3974	23435
145	4004	23422
146	4029	23382
147	4057	23359
148	4083	23321
149	4109	23284
150	4134	23248
151	4162	23222
152	4189	23190
153	4216	23161
154	4242	23127
155	4270	23105
156	4300	23092
157	4328	23068
158	4354	23034
159	4393	23064
160	4443	23158
161	4478	23166
162	4523	23226
163	4571	23304
164	4605	23307
165	4636	23294
166	4666	23279
167	4693	23243
168	4719	23206
169	4745	23171
170	4773	23142
171	4802	23117
172	4829	23088
173	4856	23053
174	4882	23018
175	4910	22987
176	4941	22976
177	4972	22964
178	5005	22956
179	5040	22962
180	5082	22998
181	5117	22999
182	5151	22997
183	5183	22986
184	5214	22973
185	5251	22983
186	5284	22973
187	5312	22947
188	5344	22931
189	5375	22915
190	5406	22897
191	5435	22874
192	5463	22842
193	5489	22808
194	5517	22777
195	5545	22746
196	5572	22713
197	5599	22682
198	5626	22646
199	5653	22612
200	5679	22577
201	5706	22542
202	5734	22513
203	5761	22481
204	5787	22445
205	5813	22408
206	5839	22370
207	5872	22358
208	5901	22334
209	5928	22303
210	5955	22270
211	5982	22235
212	6008	22200
213	6033	22159
214	6058	22119
215	6083	22080
216	6110	22048
217	6137	22015
218	6162	21977
219	6187	21937
220	6213	21901
221	6241	21873
222	6267	21837
223	6293	21801
224	6318	21764
225	6344	21727
226	6374	21708
227	6401	21676
228	6428	21644
229	6457	21618
230	6483	21584
231	6510	21550
232	6537	21519
233	6563	21484
234	6593	21463
235	6623	21442
236	6651	21412
237	6676	21377
238	6703	21344
239	6730	21311
240	6757	21281
241	6789	21267
242	6819	21244
243	6848	21219
244	6876	21191
245	6907	21171
246	6936	21147
247	6961	21109
248	6988	21076
249	7016	21048
250	7045	21023
251	7075	21002
252	7106	20983
253	7135	20956
254	7163	20929
255	7193	20905
256	7220	20874
257	7247	20844
258	7274	20813
259	7324	20846
260	7352	20818
261	7402	20850
262	7432	20827
263	7462	20803
264	7488	20769
265	7515	20739
266	7553	20737
267	7583	20712
268	7614	20690
269	7649	20682
270	7679	20659
271	7708	20631
272	7735	20600
273	7768	20584
274	7803	20573
275	7836	20555
276	7868	20536
277	7896	20509
278	7923	20477
279	7950	20444
280	7978	20414
281	8006	20385
282	8035	20357
283	8062	20325
284	8089	20294
285	8114	20258
286	8142	20227
287	8168	20195
288	8199	20171
289	8233	20159
290	8265	20138
291	8296	20116
292	8326	20092
293	8355	20064
294	8386	20041
295	8416	20017
296	8446	19993
297	8477	19971
298	8511	19954
299	8542	19932
300	8571	19906
301	8601	19880
302	8632	19856
303	8660	19828
304	8692	19806
305	8720	19778
306	8749	19750
307	8778	19723
308	8812	19706
309	8842	19680
310	8874	19660
311	8903	19634
312	8933	19608
313	8964	19585
314	8996	19564
315	9025	19537
316	9055	19510
317	9082	19479
318	9111	19451
319	9140	19422
320	9170	19397
321	9196	19364
322	9222	19330
323	9251	19301
324	9280	19274
325	9308	19245
326	9340	19223
327	9367	19192
328	9394	19161
329	9427	19140
330	9484	19168
331	9538	19192
332	9572	19173
333	9605	19153
334	9635	19127
335	9664	19098
336	9694	19072
337	9723	19044
338	9753	19017
339	9782	18989
340	9815	18968
341	9843	18938
342	9874	18913
343	9904	18887
344	9933	18858
345	9964	18834
346	10004	18827
347	10067	18862
348	10108	18854
349	10147	18845
350	10180	18823
351	10208	18792
352	10238	18766
353	10266	18735
354	10295	18706
355	10327	18681
356	10355	18650
357	10383	18620
358	10416	18598
359	10452	18582
360	10489	18566
361	10520	18541
362	10549	18512
363	10577	18481
364	10603	18446
365	10631	18416
366	10658	18382
367	10685	18350
368	10711	18317
369	10738	18284
370	10766	18252
371	10793	18220
372	10820	18188
373	10850	18162
374	10878	18131
375	10909	18105
376	10936	18073
377	10965	18043
378	10993	18012
379	11020	17981
380	11048	17949
381	11077	17920
382	11102	17886
383	11130	17854
384	11158	17824
385	11184	17791
386	11213	17761
387	11240	17729
388	11268	17699
389	11296	17668
390	11328	17644
391	11355	17612
392	11383	17581
393	11411	17551
394	11438	17520
395	11467	17490
396	11496	17461
397	11524	17431
398	11552	17400
399	11581	17371
400	11611	17344
401	11638	17313
402	11667	17284
403	11696	17255
404	11723	17222
405	11751	17192
406	11778	17161
407	11807	17132
408	11835	17102
409	11861	17069
410	11889	17038
411	11918	17009
412	11946	16980
413	11974	16949
414	12000	16916
415	12028	16886
416	12056	16856
417	12086	16827
418	12112	16795
419	12139	16763
420	12165	16731
421	12192	16699
422	12220	16670
423	12252	16644
424	12278	16612
425	12306	16581
426	12332	16549
427	12361	16520
428	12389	16490
429	12421	16465
430	12452	16439
431	12480	16409
432	12509	16380
433	12537	16351
434	12567	16323
435	12598	16297
436	12630	16272
437	12661	16246
438	12692	16220
439	12724	16194
440	12756	16169
441	12785	16140
442	12812	16109
443	12841	16080
444	12871	16053
445	12900	16024
446	12928	15994
447	12955	15963
448	12984	15933
449	13012	15904
450	13039	15873
451	13065	15841
452	13092	15809
453	13119	15777
454	13145	15745
455	13172	15714
456	13199	15683
457	13228	15654
458	13255	15623
459	13282	15592
460	13308	15560
461	13335	15529
462	13363	15498
463	13390	15468
464	13418	15438
465	13444	15405
466	13471	15374
467	13497	15343
468	13525	15313
469	13552	15282
470	13579	15251
471	13606	15220
472	13636	15193
473	13665	15165
474	13695	15136
475	13723	15107
476	13750	15076
477	13776	15044
478	13803	15013
479	13831	14984
480	13859	14954
481	13886	14923
482	13912	14891
483	13940	14861
484	13967	14831
485	13993	14799
486	14017	14766
487	14043	14734
488	14070	14703
489	14097	14672
490	14125	14642
491	14154	14615
492	14181	14584
493	14211	14556
494	14239	14527
495	14267	14497
496	14296	14468
497	14322	14437
498	14349	14406
499	14374	14374
500	14402	14344
501	14427	14312
502	14453	14281
503	14480	14250
504	14508	14221
505	14536	14191
506	14563	14161
507	14591	14131
508	14622	14104
509	14650	14076
510	14679	14047
511	14704	14014
512	14731	13984
513	14758	13954
514	14784	13923
515	14812	13894
516	14841	13865
517	14870	13837
518	14896	13806
519	14923	13775
520	14950	13745
521	14979	13716
522	15007	13687
523	15041	13663
524	15068	13633
525	15096	13603
526	15122	13572
527	15152	13545
528	15179	13515
529	15207	13486
530	15236	13457
531	15265	13429
532	15295	13401
533	15324	13373
534	15353	13344
535	15382	13316
536	15410	13286
537	15438	13257
538	15465	13227
539	15494	13198
540	15521	13169
541	15552	13142
542	15579	13111
543	15607	13082
544	15638	13055
545	15665	13025
546	15692	12995
547	15720	12966
548	15749	12938
549	15778	12909
550	15806	12880
551	15835	12851
552	15866	12825
553	15896	12797
554	15925	12769
555	15956	12742
556	15983	12712
557	16010	12682
558	16040	12654
559	16069	12625
560	16096	12596
561	16124	12566
562	16150	12536
563	16180	12507
564	16209	12479
565	16239	12451
566	16267	12423
567	16296	12394
568	16324	12365
569	16351	12335
570	16379	12306
571	16406	12276
572	16433	12246
573	16462	12218
574	16491	12189
575	16517	12158
576	16546	12130
577	16576	12102
578	16607	12075
579	16635	12046
580	16665	12018
581	16694	11990
582	16721	11960
583	16749	11930
584	16776	11901
585	16804	11872
586	16832	11843
587	16861	11814
588	16888	11784
589	16915	11755
590	16941	11724
591	16969	11694
592	16995	11664
593	17022	11634
594	17049	11605
595	17075	11574
596	17101	11544
597	17127	11513
598	17155	11484
599	17186	11457
600	17214	11428
601	17243	11400
602	17273	11372
603	17301	11343
604	17330	11315
605	17360	11287
606	17390	11259
607	17423	11233
608	17453	11205
609	17482	11177
610	17511	11148
611	17541	11120
612	17570	11092
613	17600	11064
614	17625	11033
615	17651	11003
616	17678	10973
617	17704	10943
618	17730	10913
619	17760	10885
620	17787	10855
621	17815	10826
622	17842	10797
623	17869	10767
624	17896	10737
625	17923	10708
626	17950	10678
627	17976	10648
628	18004	10619
629	18031	10589
630	18061	10562
631	18089	10532
632	18117	10504
633	18144	10474
634	18171	10445
635	18197	10415
636	18225	10386
637	18253	10357
638	18281	10328
639	18308	10298
640	18337	10269
641	18365	10241
642	18392	10211
643	18418	10181
644	18447	10153
645	18475	10124
646	18500	10093
647	18524	10062
648	18552	10034
649	18585	10007
650	18613	9978
651	18643	9950
652	18672	9922
653	18702	9894
654	18733	9867
655	18764	9840
656	18794	9812
657	18820	9782
658	18851	9754
659	18876	9724
660	18904	9695
661	18929	9665
662	18958	9636
663	18985	9607
664	19011	9577
665	19037	9547
666	19065	9518
667	19092	9489
668	19116	9458
669	19143	9428
670	19170	9399
671	19198	9370
672	19225	9341
673	19253	9312
674	19282	9284
675	19308	9254
676	19336	9225
677	19363	9196
678	19389	9166
679	19416	9136
680	19443	9107
681	19469	9078
682	19499	9050
683	19527	9021
684	19555	8992
685	19583	8963
686	19611	8935
687	19639	8906
688	19666	8877
689	19693	8847
690	19720	8818
691	19746	8788
692	19772	8759
693	19800	8730
694	19826	8700
695	19853	8671
696	19882	8643
697	19910	8614
698	19939	8586
699	19965	8556
700	19991	8527
701	20018	8497
702	20046	8469
703	20073	8439
704	20100	8410
705	20127	8381
706	20154	8352
707	20182	8324
708	20212	8295
709	20238	8266
710	20265	8237
711	20295	8209
712	20322	8180
713	20350	8151
714	20379	8123
715	20406	8094
716	20433	8065
717	20459	8035
718	20485	8006
719	20511	7976
720	20537	7947
721	20564	7918
722	20592	7889
723	20620	7860
724	20649	7832
725	20676	7803
726	20702	7774
727	20730	7745
728	20758	7716
729	20789	7689
730	20819	7661
731	20847	7632
732	20875	7604
733	20903	7575
734	20932	7547
735	21006	7534
736	21033	7505
737	21061	7477
738	21089	7448
739	21116	7419
740	21144	7390
741	21170	7361
742	21199	7332
743	21228	7304
744	21264	7278
745	21292	7249
746	21318	7220
747	21345	7191
748	21374	7162
749	21404	7134
750	21433	7106
751	21462	7077
752	21491	7049
753	21518	7020
754	21544	6991
755	21574	6963
756	21600	6933
757	21627	6904
758	21654	6875
759	21683	6847
760	21710	6818
761	21736	6789
762	21765	6760
763	21793	6732
764	21819	6702
765	21846	6673
766	21872	6644
767	21900	6615
768	21926	6586
769	21955	6557
770	21983	6529
771	22013	6501
772	22041	6472
773	22069	6444
774	22097	6415
775	22125	6386
776	22152	6357
777	22178	6328
778	22205	6299
779	22231	6270
780	22259	6241
781	22284	6212
782	22311	6183
783	22338	6154
784	22367	6126
785	22394	6097
786	22422	6068
787	22449	6039
788	22473	6010
789	22497	5980
790	22524	5951
791	22552	5922
792	22579	5894
793	22606	5865
794	22634	5836
795	22661	5807
796	22689	5779
797	22717	5750
798	22746	5722
799	22772	5693
800	22799	5664
801	22827	5635
802	22855	5607
803	22884	5578
804	22912	5550
805	22938	5521
806	22965	5492
807	22991	5463
808	23019	5434
809	23045	5405
810	23072	5376
811	23097	5347
812	23122	5318
813	23150	5289
814	23179	5261
815	23208	5233
816	23237	5204
817	23263	5176
818	23291	5147
819	23319	5118
820	23346	5090
821	23372	5061
822	23399	5032
823	23426	5003
824	23453	4974
825	23481	4946
826	23509	4917
827	23535	4889
828	23564	4860
829	23590	4831
830	23618	4803
831	23646	4774
832	23673	4746
833	23700	4717
834	23728	4688
835	23757	4660
836	23787	4632
837	23815	4603
838	23842	4575
839	23870	4546
840	23900	4518
841	23930	4490
842	23960	4462
843	23989	4434
844	24019	4405
845	24049	4377
846	24076	4349
847	24105	4320
848	24134	4292
849	24161	4263
850	24189	4235
851	24215	4206
852	24240	4177
853	24266	4148
854	24293	4119
855	24321	4091
856	24349	4063
857	24379	4034
858	24410	4006
859	24437	3978
860	24463	3949
861	24490	3920
862	24517	3892
863	24548	3864
864	24577	3835
865	24609	3807
866	24635	3779
